Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
43,Fizz,Middle,52.04%,4.80%,1.45%,6.00,9.15,6.15,5.43,11,19366,21677,2605,150.7,1.33,5.19,11801,19,9
44,Galio,Middle,49.79%,1.22%,0.21%,6.29,5.09,5.71,9.22,9,19030,25218,3033,160.2,1.35,5.07,11017,40,6
45,Galio,Top,46.97%,1.11%,0.21%,4.94,3.51,5.60,8.75,6,16029,25902,2827,156.2,0.78,2.05,10478,51,5
46,Gangplank,Middle,49.17%,1.41%,0.65%,16.44,6.41,5.84,7.60,8,22137,23501,6042,193.0,2.18,6.37,13678,12,4
47,Gangplank,Top,50.90%,8.24%,0.65%,9.28,5.66,5.68,7.14,10,21861,23672,6058,202.2,1.77,4.15,13686,1,0
48,Garen,Top,51.91%,3.47%,0.21%,3.41,5.99,4.77,4.69,8,17405,30273,1666,171.3,1.79,2.17,11446,15,8
49,Gnar,Top,48.99%,5.77%,0.33%,4.18,4.88,5.45,6.61,8,18473,27168,2526,170.6,1.39,2.24,11221,24,6
50,Gragas,Jungle,46.24%,2.36%,0.04%,6.48,4.29,5.05,9.17,9,12795,31275,13026,37.4,6.26,67.64,10493,45,2
51,Gragas,Middle,45.62%,0.39%,0.04%,14.07,7.28,6.09,6.45,9,20689,25399,7831,147.5,2.20,7.19,11413,45,1
52,Gragas,Top,45.58%,0.41%,0.04%,8.45,4.43,5.20,6.98,6,16810,27624,8958,153.3,1.43,3.25,10641,53,1
53,Graves,Jungle,46.88%,4.97%,0.08%,6.88,6.86,6.07,6.14,11,17881,23904,7813,65.4,10.42,79.22,12174,36,6
54,Hecarim,Jungle,49.16%,3.75%,0.35%,5.26,7.35,6.02,7.79,10,15626,33072,11183,43.6,7.34,73.84,11571,19,3
55,Heimerdinger,Middle,53.55%,1.04%,0.13%,7.10,5.53,5.93,6.83,8,25000,17671,1869,176.7,1.27,4.28,11662,23,0
56,Heimerdinger,Top,52.73%,1.69%,0.13%,6.05,4.94,6.03,5.78,9,24400,18062,1833,188.3,1.44,2.39,11744,28,2
57,Illaoi,Top,53.01%,3.43%,0.34%,5.35,5.13,6.10,4.63,8,23149,31989,7729,200.5,1.46,1.58,12135,7,5
58,Irelia,Top,50.19%,3.91%,0.21%,5.91,6.73,5.88,5.04,9,17468,27821,7668,184.1,1.69,2.36,11882,21,10
59,Ivern,Jungle,51.27%,1.20%,0.04%,6.53,2.50,4.43,12.04,5,8555,15973,7351,19.6,11.94,73.73,9935,43,3
60,Janna,Support,53.47%,8.56%,0.47%,8.11,1.64,4.71,14.41,5,7766,14424,7025,16.3,0.10,0.13,9580,5,0
61,Jarvan IV,Jungle,51.64%,10.29%,1.38%,5.51,6.16,5.53,10.67,10,13807,27004,8001,41.9,7.12,68.08,11341,8,5
62,Jarvan IV,Top,50.32%,1.64%,1.38%,6.39,5.71,5.64,8.75,9,16337,24528,2799,168.2,1.84,3.57,11544,18,11
63,Jax,Jungle,51.85%,3.60%,0.42%,7.18,6.80,5.79,5.74,9,14664,27170,8943,51.4,8.94,73.63,11833,18,5
64,Jax,Top,49.23%,4.30%,0.42%,6.05,5.86,6.13,4.36,8,16394,25099,3447,173.5,3.16,4.89,11711,42,8
65,Jayce,Middle,52.72%,1.82%,1.28%,9.53,8.11,5.67,6.36,10,22619,20299,2711,173.5,2.71,9.86,12252,7,0
66,Jayce,Top,51.83%,5.63%,1.28%,7.29,6.73,5.71,5.95,8,21657,20831,2466,184.3,2.29,4.30,12012,5,1
67,Jhin,ADC,49.87%,21.36%,0.32%,9.36,7.28,5.67,8.38,11,21205,16591,2955,187.2,1.48,5.88,12647,5,2
68,Jinx,ADC,50.30%,7.20%,0.04%,6.07,7.06,6.31,7.16,10,19436,18192,3050,193.1,2.34,8.73,12822,12,1
69,Kalista,ADC,47.54%,5.23%,0.17%,4.86,7.48,6.55,6.29,10,17995,20593,3795,186.3,2.57,8.55,12536,17,1
70,Karma,Support,48.99%,6.69%,0.18%,6.98,2.59,5.64,12.59,7,12688,15990,2693,29.5,0.33,0.52,9698,21,2
71,Karthus,Middle,51.16%,1.43%,0.03%,4.71,6.93,6.67,8.52,9,29208,22709,4432,184.4,2.30,11.81,12478,6,8
72,Karthus,Top,50.13%,0.37%,0.03%,10.34,6.09,6.95,7.65,8,27742,22370,4288,192.4,2.39,7.68,12281,17,4
73,Kassadin,Middle,49.74%,4.80%,1.16%,5.19,7.56,5.29,5.79,9,19902,23317,3665,161.2,1.55,6.63,11446,26,1
74,Katarina,Middle,53.23%,9.34%,3.36%,7.14,9.99,6.84,5.47,12,22226,23443,5521,154.8,1.40,2.92,12108,3,3
75,Kayle,Middle,52.23%,0.49%,0.05%,8.38,5.91,5.75,6.34,9,17774,23254,7703,183.5,3.33,10.73,12077,30,4
