Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
185,Xayah,ADC,49.61%,8.54%,0.81%,5.48,6.82,5.93,6.71,11,20235,18367,3328,196.5,2.44,8.63,12768,11,1
186,Xerath,Middle,54.17%,5.68%,1.22%,5.41,6.54,4.99,8.42,10,25295,15284,1559,179.4,1.32,7.47,11960,2,1
187,Xerath,Support,50.23%,4.84%,1.22%,12.29,4.61,5.93,10.63,9,20795,15306,1170,49.2,0.60,1.46,10889,4,7
188,Xin Zhao,Jungle,53.23%,6.46%,1.94%,4.14,6.74,6.06,6.75,11,16038,31003,13534,43.3,8.83,70.89,11552,3,2
189,Yasuo,Middle,47.67%,8.21%,3.60%,11.26,6.74,7.30,5.19,10,17610,21682,2210,182.0,3.94,6.74,12121,29,3
190,Yasuo,Top,48.07%,8.65%,3.60%,10.92,5.83,7.17,4.63,9,17378,22136,2180,194.3,3.73,5.74,12147,8,4
191,Yorick,Top,53.19%,2.74%,0.34%,5.72,4.34,5.18,4.73,7,18681,27628,5832,188.1,1.38,1.67,11434,22,12
192,Zac,Jungle,49.90%,2.59%,0.20%,5.64,4.19,4.34,11.27,7,12003,35789,27071,37.4,4.81,65.79,10453,25,3
193,Zed,Middle,51.04%,13.11%,5.78%,6.70,9.27,6.28,5.18,12,21648,21051,3359,166.6,1.82,4.62,12283,1,0
194,Ziggs,Middle,52.51%,2.12%,0.03%,5.10,5.86,5.57,7.58,9,25053,16439,1536,184.7,1.63,7.63,12094,9,2
195,Zilean,Middle,54.29%,0.80%,0.07%,8.40,4.03,4.37,9.91,7,17445,19721,8335,171.2,1.15,5.49,11087,24,0
196,Zilean,Support,50.65%,1.78%,0.07%,7.05,2.68,5.30,12.78,7,12574,17200,6711,42.5,0.36,0.72,10218,18,3
197,Zoe,Middle,47.29%,15.59%,8.18%,NaN,6.69,7.11,6.61,11,21674,18310,2242,142.0,0.98,4.39,10946,10,5
198,Zoe,Support,41.72%,4.18%,8.18%,NaN,4.48,8.28,8.86,9,17376,18028,1808,40.7,0.51,1.29,10257,24,15
199,Zyra,Middle,53.67%,0.68%,0.20%,16.68,5.56,5.91,7.90,9,25340,16736,1607,170.3,1.47,6.52,11653,20,0
200,Zyra,Support,51.32%,3.29%,0.20%,7.06,3.95,6.55,10.63,7,21085,16651,1400,45.2,0.65,1.37,10826,13,10
