Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
34,Ekko,Jungle,47.95%,1.28%,0.23%,13.26,7.28,6.33,7.25,9,17276,29483,10739,65.7,5.66,58.18,11481,35,1
,,,,,,,,,,,,,,,,,,,
35,Ekko,Middle,49.66%,3.75%,0.23%,7.08,7.36,6.53,6.13,10,19376,25263,6448,156.6,1.54,5.07,11590,31,2
,,,,,,,,,,,,,,,,,,,
36,Ekko,Top,47.82%,1.12%,0.23%,9.43,5.7,6.35,5.66,9,17367,25830,6104,162.6,1.34,2.79,11224,49,0
,,,,,,,,,,,,,,,,,,,
37,Elise,Jungle,48.79%,3.61%,0.29%,6.99,6.64,6.01,7.61,10,15029,23199,7681,33.6,6.9,62.96,10721,37,1
,,,,,,,,,,,,,,,,,,,
38,Evelynn,Jungle,50.46%,5.20%,1.72%,6.32,8.8,6.33,7.36,12,18418,25094,7890,26.6,7.5,67.07,11392,7,3
,,,,,,,,,,,,,,,,,,,
39,Ezreal,ADC,55.20%,19.14%,6.74%,8.02,7.99,5.75,8.34,10,26091,19142,2679,182.8,2.29,6.88,13259,1,0
,,,,,,,,,,,,,,,,,,,
40,Fiddlesticks,Jungle,46.55%,1.17%,0.07%,6.3,5.03,6.37,9,7,15015,28422,15099,47,4.26,62.42,10614,46,2
,,,,,,,,,,,,,,,,,,,
41,Fiddlesticks,Middle,52.51%,0.60%,0.07%,17.26,5.93,6.16,8.06,7,19583,18935,5612,147.8,1.62,7.89,11025,34,4
,,,,,,,,,,,,,,,,,,,
42,Fiddlesticks,Support,50.26%,1.18%,0.07%,9.9,3.95,7.38,10.98,9,15974,17912,3408,47.3,0.8,2.29,10333,28,3
,,,,,,,,,,,,,,,,,,,
43,Fiora,Top,47.90%,5.45%,1.60%,6.41,5.98,6.32,4.54,10,16984,27576,7114,172.3,2.48,3.7,11488,26,9
,,,,,,,,,,,,,,,,,,,
44,Fizz,Middle,52.50%,5.11%,1.63%,6,9.25,6.44,5.56,14,19212,21580,2493,146.9,1.31,4.99,11705,10,1
,,,,,,,,,,,,,,,,,,,
45,Galio,Middle,46.09%,1.16%,0.34%,6.29,4.43,6.03,9.29,8,16664,24782,2755,153.8,1.23,5.05,10618,46,1
,,,,,,,,,,,,,,,,,,,
46,Galio,Top,44.36%,1.11%,0.34%,4.94,3.11,5.88,8.67,7,14044,25196,2575,148.5,0.72,2.09,10096,56,1
,,,,,,,,,,,,,,,,,,,
47,Gangplank,Middle,47.90%,1.71%,0.99%,16.44,6.44,6.27,7.68,9,21298,23520,5808,185.3,2.05,6.05,13421,17,3
,,,,,,,,,,,,,,,,,,,
48,Gangplank,Top,49.96%,9.39%,0.99%,9.28,5.68,5.97,7.2,9,20937,23474,5799,195.3,1.67,3.92,13431,1,0
,,,,,,,,,,,,,,,,,,,
49,Garen,Top,51.99%,3.55%,0.20%,3.41,6.12,5.07,4.83,9,17025,30116,1661,166.3,1.74,2.18,11348,24,4
